name,comment
" ""Tự làm mất Danh hiệu xây dựng mấy chục năm còn ai tin vào Tiến sĩ của Trường nữa . Mình tưởng chỉ ở ngoài những nghành khác có Tiến sĩ “ Lu” cử nhân Quản lý nhà nước… Đọc không nổi những con số lớn.. Giờ tới những nghành liên quan đến sức khỏe thì không còn gì để nói""",
" ""Thi đầu vao TS ở PNT dễ hơn tuyển sinh đai học vào trường này hả mn?""",
" ""T có 1 thắc mắc nhỏ giỏi cở đó mà sao ko thi thẳng vô đh y dược đồ luôn ta..24t tiến sĩ thì trình top server thế giới luôn rồi..""",
" ""Wow viết rất dài để giải thích cho kết quả hạ 0","5 điểm."""
" ""Nhớ cái tên đấy sau đi học còn né :))""",
" ""Phạm Ngọc Thạch là trường y có tiếng cũng 1-2 với ĐHYD mà lamg chuyện khó coi vậy "," mất hết uy tín trường"""
" ""Toàn đứng tên phụ trong nghiên cứu khoa học. Chả có bài nào đứng chính. Cũng chả biết đc vai trò là gì.""",
" ""VN có 2 thứ số 1 Thế giới mà khg có nước nào có LÀ CÁC BÁC và CHỢ NỔI / lĩnh vực nào cũng như CÁI CHỢ/""",
" ""Đây là hại con"," chứ ko phải giúp con. Bật cha Mẹ cần phải sáng suốt"""
" ""Học Y mà cũng đi lòng vòng vậy thì bệnh nhân tốn tiền dài dài với mấy ông rồi""",
" ""Đọc cmt mà ngại giùm gia đình ts :))""",
" ""TS giấy""",
" ""24 tuổi""",
" ""Con PGS phải vậy chứ"," đường đi dọn sẵn mừ"""
" ""Trường làm thế là tự hạ thấp chính mình rồi.""",
" ""Uy tín của trường còn đâu.""",
" ""Nếu vậy soi luôn con mẹ coi là PGS or Phó sứ giao.😂😂😂""",
" ""Bên group Liêm chính khoa học nói trước đó đã có TS bán quạt giờ lại còn xuất hiện thêm TS mẹ bồng con 👶""",
" ""24 tuổi""",
" ""Cá nhân t thấy chuyện “kế thừa truyền thống gia đình” ko phải vấn đề. Nhưng dựa thì nói dựa"," chứ ăn ké mà phông bạt vầy nó xấu lắm 🙂"""
" ""Mình thì cảm thấy""",
" ""Giảm hẳn 0","5 điểm uy tín uy tín"""
" ""Y mà thích mua là mua hả? Cứt nát đòi sóng sánh với Đại Dương.😌😌.""",
" ""Ham chi mấy cái bằng cấp mà thực lực kg có ","sau này người ta hỏi chuyên môn kg biết tới đó mang nhục"""
" ""làm trò cười cho thiên hạ. Hạ bậc tín nhiệm của trường PNT xuống là được. Cần gì giải thích. Mấy cái lò đào tạo tiến sỹ cứ cho đào tạo thoải mái. Nhưng hạ bậc tín nhiệm = 0 là được.""",
" ""Nouka sợ là không ra khám đâu bạn nhưng sẽ là những ng xây dựng phác đồ "," các BS phải làm theo"""
" ""Vẫn giỏi điên đảo""",
" ""Tao chưa thấy 1 sai phạm nào mà làm k đúng quy trình cả . Chỉ có thanh tra xong mới k đúng quy trình thôi""",
" ""Mẹ nó chắc cũng trình độ xàm chứ con bả mà giỏi thi y đại học dược rồi""",
" ""con hát mẹ khen hay hả 🤡🤡🤡""",
" ""Đúng là mẹ nào con nấy! 🤣🤣🤣 cháu nó NCKH giỏi thế thì kiếm PhD học bổng nước ngoài chứ 3 4 cái TS GIẤY VN vơ vào làm gì"," cho lộ hết ra 🤣🤣🤣"""
" ""Tụi bay chạy cái gì thì chạy"," giáo viên với bác sĩ thì làm ơn làm cho đàng hoàng được không?"""
" ""Tiến sĩ giấy"," mà là tiến sĩ Y nữa thì càng nguy hiểm cho ngành Y nói riêng và xã hội nói chung. Làm khoa học mà liêm chính khoa học còn không có"""
" ""Quá nguy hiểm""",
" ""Mất hết uy tín trường""",
" ""Mẹ lên chức vị như nào thì bày cho con y như vậy...có điều chơi hơi trội buff quá tay lên bị lộ. Chứ cứ cho cháu nó về ngồi hưởng lương vài năm rùi lên Ts là chót lọt rùi.""",
" ""Làm lâm sàng mà mắc sai lầm thì chỉ ảnh hưởng đến 1 bệnh nhân thôi"," còn làm nghiên cứu mà mắc sai lầm thì sẽ ảnh hưởng đến hàng ngàn hàng triệu người bệnh !"""
" ""Cũng nên xét lại bằng PGS của con mẹ luôn""",
" ""Thượng bất chính hạ tắc loạn""",
" ""24 tuổi trúng tiến sỹ. 😌""",
" """"Trường ĐH Y khoa Phạm Ngọc Thạch khẳng định quy trình tuyển sinh tiến sĩ năm 2025 được thực hiện đúng quy định của Bộ GD&ĐT và quy chế nội bộ""""",
" ""Muốn làm tới cùng thì thiếu gì cách! Năng lực thì k thể giả dc""",
" ""Tiến sĩ giấy ???""",
" ""À thì ra đây là tiến sĩ mẹ bồng con trong truyền thuyết""",
" ""May mà nó ở trong Nam""",
" ""Tôi nói thật"," các ông cố làm cái gì cũng được các ông đừng cố vì cái này. Tội nhân dân"""
" ""Giờ mới biết có mẹ là trưởng khoa""",
" ""Tương lai tai ương 🥴""",
" ""Cho thằng con học thạc sĩ hay ck I là êm rồi"," buff hẳn lên tiến sĩ thì chệu😂. Bây h mạng xh tung tin tràn lan đâu có im im như ngày xưa nữa đâu."""
" ""Sao cái từ tiến sĩ của việt nam dễ gọi thật""",
" ""Cái nào từ miệng mà ko đúng quy trình""",
" ""Nếu thật sự giỏi thì đáng ngưỡng mộ còn phong bạc chức danh và kiến thức thì sẻ rất mệt""",
" ""Gốc mạnh dữ"," đến cả trường y đứng ra thanh minh 😆"""
" ""Nếu học đại học y thì 24t là vừa ra trường đúng ko nhỉ""",
" ""Chúc mừng cháu có 1 bà mẹ quá xuất sắc""",
" ""Đây là con ông cháu mẹ hả?""",
" ""ụa. 24 mới học xong bác sỹ thôi mà đậu hẳn tiến sỹ luôn ạ.""",
" ""Việc làm duy nhất của chúng ta bây giờ là đi khám bệnh né tên BS này ra""",
" ""Điều tra bà mẹ luôn""",
" ""Trong trường hợp nầy người ta gọi là xung đột lợi ích""",
" ""học trò thầy thích chân quang""",
" ""Ý là mốt bạn này sẽ theo việc quản lý bệnh viện hay theo việc khám chữa bệnh ạ"," chứ em ko dám khám bác sĩ này."""
" ""Rõ ràng là đã có sự gian dối.""",
" ""Loại bỏ sâu bọ trong ngành""",
" ""Sao 24 tuổi mà hoc được Tiến sĩ rồi""",
" ""Nhớ rõ tên sau này có khám hay con học thì né xa""",
" ""Lúc đầu đọc tin là thấy lấn cấn nhiều chỗ. Giờ mới hiểu ra.""",
" ""Lại đúng qui trình""",
" ""Bố mẹ học y giỏi thì con sinh ra giỏi là rất bt mà mọi người ? Ganh tị à ?""",
" ""Rồi giật cái tít cho mang tiếng người ta! Đặt tiêu đề cũng phải có tâm chút chứ!""",
" ""Giật cái tít tệ hại""",
" ""Được phụ huynh dọn đường để đi cho nhanh.""",
Anh Huy Ngô," ""Ở ta sao ko tinh gọn còn 1 tờ báo nhỉ ? Cho đỡ tốn ngân sách kkk"""
Phạm Tuân," ""Làm sai thì sửa. Dân làm sai có sửa không hay bắt vô tù"""
Đỗ Điệu," ""Báo viết câu sai thì sửa chuyện xưa rồi là thấy bố đời rồi đó."""
nay thảo," ""Cảm ơn người đã nói thay cho suy nghĩ của đa số người đang chán trở mà không có khả năng diễn đạt nhưng luôn bị hăm dọa quy chụp để bắt bớ."""
Đinh Công Đức," ""Vin rúp sở hữu cả BCA rồi 😰"""
Cá Heo Xanh," ""Ai cũng biết nhưng ai nào dám nói…."""
Anhnam Nguyen," ""Sẽ đổi tên thành CA chế độ"""
Minh Chau Tran," ""Bài viết rất đúng!"""
Sbc Cari," ""Viết lỡ tay trên faybook cái là bị gồng đầu ngay. Còn tụi nó viết cả tập. Có sao đâu. Trò. Mèo"""
Huỳnh Kim Oanh," ""Công an để bảo vệ chính quyền. Chuyện này người dân nào cũng biết mà!"""
Anh Ngo," ""Tôi chỉ muốn nói với nhà báo nếu không giám nói nên sự thật vì ông lo bà kia thì cũng đừng nói sai chỗ người dân vì người không có quyền muốn nhà báo tất nghiên cũng nhiều nhà báo biết những không giám viết bài gọi tắt là không đủ thẩm quyền"""
Huucong Lồng Gáy," ""Ở Việt Nam Công Lý chỉ là diễn viên hài"""
Lê Phước Hưng," ""Đảng bảo báo dân sai 1 thì viết 10 còn cán bộ doanh nghiệp lớn sai 100 thì viết ko cùng một bọn nhau mà ở ta đâu có công lý như các nước đâu"""
Phạm Đông," ""Bảo vệ doanh nghiệp mới được tham nhũng còn bảo vệ dân thì không được gì"""
Vu Tri," ""các anh sống sao mà mỗi lần có anh hi sinh người dân lại nói bớt thằng nào hay thằng đó"""
Harman Kardon," ""Xe Vin ghẻ kiện với cáo.Dân có ai thèm mua đâu"""
Phuong Nguyen," ""Thế câu "" tự hoàn thiện "" thì để cho chó gặm à ?."""
Quỳnh Lưu," ""Chuẩn luôn 👌👌👌"""
Hung Phi Duong," ""Không nên đọc báo cand vì viết không trung thực"""
Sa Nguyen," ""Bảo kê doanh nghiệp...kakaka"""
Phạm Tuấn," ""Báo nghành nào phải bảo vệ cho nghành đó!"""
Kiet Pham," ""biet vay ai ai van mua xe va mua đat vay . biết mà con nhai vo tai ai tai minh trách ai"""
Huỳnh Thanh Hải," ""Báo Việt Nam nhìn con dê thành con chim"""
Nguyen Dung," ""Báo CAND nhưng mà Kho Bạc Nhà Nước"""
Phạm Văn Tùng," ""Cương nó bự zữ thần"""
Thắng Việt Võ," ""Khi mà sự bức xúc lên đỉnh điểm"""
Phạm Đăng Khôi," ""Bảo vệ doanh nghiệp mới kiếm ăn dc.Bảo vệ dân lấy gì ăn kakaka.Có lẽ tụi đầu đất nó nghĩ vậy á"""
Nam Pham," ""Bài viết hay"""
Đinh Công Bằng," ""Báo 1 tổng biên tập"""
Thanh Sang Nguyen," ""sang đức mà sống đi con"""
Duc Tuan Tran," ""Đăng tin không đúng sai sự thật thì xin sửa sai là song làm gì phải kiện tụng cho mất thời gian...."""
Cốt Pha Hồng Phúc," ""Ko thà im mẹ mồm"""
Nhánh Lan Rừng," ""dân là khổ nhất ."""
Dũng Mai," ""Một thể chế vô thiên vô pháp vô nhân tính vô đạo đức"""
